station;latitude;longitude
Cedry Wielkie (przystanek kolejowy);54.243;18.8442
Cedynia;52.873999999999995;14.2019
Cegielnia (stacja kolejowa);52.373999999999995;18.2042
Cegielnia Igloobud (stacja);50.0;21.3903
Cegłów;52.14834190196014;21.735411931191937
Cekcyn (przystanek kolejowy);53.576;18.0275
Celestynów;52.05824480123435;21.393108673233954
Cementownia Ożarów;50.933;21.6744
Centralny Dworzec Pocztowy;52.22748888;20.994519444
Centrum;52.23138888;21.010555555
Centrum Nauki Kopernik;52.2;21.031667
Cerekwica (przystanek kolejowy);52.82792;17.634419
Cerkiewnik;53.90962323011031;20.396684644101704
Cerkiewnik (przystanek kolejowy);53.909;20.3967
Cetty (stacja kolejowa);52.38399999999999;18.9606
Cewice (stacja kolejowa);54.42100000000001;17.727
Chabierów (stacja kolejowa);51.70399999999999;18.5275
Chabówka;49.59699583624816;19.936460040024567
